file,class
breakdown_by_field copy.py,network
calc_correlation.py,cpu
csv_parse.py,cpu
p5.py,cpu
extract_attachment.py,io
p1.py,cpu
newcloudinterface.py,network
bastion_foster.py,network
upload_edges.py,mem
generate_pilot_data.py,mem
field_multithread.py,network
remote_create_pilot_csv.py,network
field_new.py,mem
p4.py,cpu
slurm.py,io
get_wos_ids.py,network
cloudinterface.py,network
single_user_test_generate_qualtrics_csv.py,network
new_format_csv_production.py,network
new_format_csv_test.py,network
create_aws_env.py,network
calc_wiki_correlation.py,cpu
percentile_graph.py,cpu
test_with_one_user.py,network
breakdown_by_field.py,network
testPickle.py,mem
site_config.py,cpu
generate_pilot.py,network
extract_attachment copy.py,mem
crimPen.py,network
recent_articles.py,mem
pattern.py,cpu
wikiscript.py,network
benisstupid.py,io
custom-genome-fromVCF-alea.py,cpu
aws.py,network
get_data.py,mem
sentiment_analysis.py,network
sitetest.py,mem
myscript copy.py,network
percentile_per_field_breakdown.py,mem
format_edge_data.py,mem
slackFlask.py,cpu
dag_vis.py,cpu
generate_pilot_1_data.py,network
revcomp_with_rename.py,cpu
myscript copy 2.py,network
myscript.py,network
stringcompare_abstracts.py,cpu
template.py,other
format_csv_for_author.py,cpu
cwl_to_parsl.py,mem
testsqlitefile.py,mem
p8.py,cpu
dict.py,mem
generate_sample.py,network
new_format_csv_for_author.py,cpu
breakdown_by_percentile.py,cpu
p3.py,cpu
generate_survey_karim_lakhani.py,network
new_format_csv.py,io
extractDict.py,mem
graphs.py,mem
p7.py,cpu
help.py,network
googlecloudtest.py,network
foster.py,network
percentile_graph copy.py,cpu
testflow.py,cpu
index_and_search.py,network
p6.py,cpu
untitled.py,network
generate_sampling_distribution.py,mem
p2.py,cpu
cloudform.py,networkbasic_python.py,other
quarkconfinement.py,cpu
primes.py,cpu
7.5.py,cpu
madelung_constant.py,cpu
chaoticoscillator_lyapunov.py,cpu
7.4.py,mem
1d-rungekutta-springs.py,cpu
harmonicoscillator_secantmethod.py,cpu
backscatter_rng_simulator.py,cpu
collection_of_trapezoidal_rules.py,cpu
plots2.py,mem
sun_earth_moon2.py,cpu
rng.py,cpu
gravitational_galaxy.py,mem
mercury.py,cpu
stmicroscope_silicon.py,mem
particle_in_box_matrix.py,mem
relaxation_method_rootfinding.py,cpu
doublependulum_energy.py,cpu
rk4.py,cpu
mp_quant.py,cpu
fib_seq.py,cpu
sun_earth_orbit.py,cpu
bifurcation.py,cpu
7.9.py,mem
rk4_poincare_sections.py,cpu
squarewire_potential.py,cpu
RMI_calc_template.py,mem
matrix_solve_basic.py,mem
lagrange_point.py,cpu
lorenz_attractor.py,cpu
rmi_calc.py,mem
poisson_boundary_conditions.py,cpu
euler_method_1d_skeleton.py,cpu
p2 copy.py,cpu
poisson's_equation_gausssiedel.py,cpu
simpsons_rule.py,cpu
RK4_harm_osc_2.py,cpu
anharmonic_oscillator_secant.py,cpu
telescope_diffraction.py,mem
temperature_plotting.py,mem
RK4_harmonic_oscillator.py,cpu
7.3.py,mem
sun_earth_moon.py,cpu
parallel_montecarlo_integral.py,cpu
doublependulum_sim.py,cpu
7.2.py,mem
electric_field.py,cpu
p1 copy.py,cpu
semiempirical_mass.py,cpu
7.6.py,mem
stm_plot.py,mem
